Navn;Kodeverdi;Eier; Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gylig til; ID
0711;0711;Kartverket;Gyldig;29.11.2017;1;Svelvik;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0711
0712;0712;Kartverket;Gyldig;29.11.2017;1;Larvik;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0712
0713;0713;Kartverket;Gyldig;29.11.2017;1;Sande i Vestfold;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0713
0714;0714;Kartverket;Utgått;29.11.2017;1;Hof;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0714
0715;0715;Kartverket;Gyldig;29.11.2017;1;Holmestrand;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0715
0716;0716;Kartverket;Gyldig;29.11.2017;1;Re;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0716
0717;0717;Kartverket;Utgått;29.11.2017;1;Borre;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0717
0718;0718;Kartverket;Utgått;29.11.2017;1;Ramnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0718
0719;0719;Kartverket;Utgått;29.11.2017;1;Andebu;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0719
0720;0720;Kartverket;Utgått;29.11.2017;1;Stokke;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0720
0721;0721;Kartverket;Utgått;29.11.2017;1;Sem;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0721
0722;0722;Kartverket;Utgått;29.11.2017;1;Nøtterøy;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0722
0723;0723;Kartverket;Utgått;29.11.2017;1;Tjøme;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0723
0725;0725;Kartverket;Utgått;29.11.2017;1;Tjølling;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0725
0726;0726;Kartverket;Utgått;29.11.2017;1;Brunlanes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0726
0727;0727;Kartverket;Utgått;29.11.2017;1;Hedrum;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0727
0728;0728;Kartverket;Utgått;29.11.2017;1;Lardal;;01.01.2018 00:00:00;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0728
0729;0729;Kartverket;Gyldig;29.11.2017;1;Færder;01.01.2018 00:00:00;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0729
0805;0805;Kartverket;Gyldig;29.11.2017;1;Porsgrunn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0805
0806;0806;Kartverket;Gyldig;29.11.2017;1;Skien;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0806
0807;0807;Kartverket;Gyldig;29.11.2017;1;Notodden;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0807
0811;0811;Kartverket;Gyldig;29.11.2017;1;Siljan;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0811
0814;0814;Kartverket;Gyldig;29.11.2017;1;Bamble;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0814
0815;0815;Kartverket;Gyldig;29.11.2017;1;Kragerø;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0815
0817;0817;Kartverket;Gyldig;29.11.2017;1;Drangedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0817
0819;0819;Kartverket;Gyldig;29.11.2017;1;Nome;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0819
0821;0821;Kartverket;Gyldig;29.11.2017;1;Bø i Telemark;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0821
0822;0822;Kartverket;Gyldig;29.11.2017;1;Sauherad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0822
0826;0826;Kartverket;Gyldig;29.11.2017;1;Tinn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0826
0827;0827;Kartverket;Gyldig;29.11.2017;1;Hjartdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0827
0828;0828;Kartverket;Gyldig;29.11.2017;1;Seljord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0828
0829;0829;Kartverket;Gyldig;29.11.2017;1;Kviteseid;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0829
0830;0830;Kartverket;Gyldig;29.11.2017;1;Nissedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0830
0831;0831;Kartverket;Gyldig;29.11.2017;1;Fyresdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0831
0833;0833;Kartverket;Gyldig;29.11.2017;1;Tokke;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0833
0834;0834;Kartverket;Gyldig;29.11.2017;1;Vinje;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0834
0901;0901;Kartverket;Gyldig;29.11.2017;1;Risør;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0901
0903;0903;Kartverket;Utgått;29.11.2017;1;Arendal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0903
0904;0904;Kartverket;Gyldig;29.11.2017;1;Grimstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0904
0906;0906;Kartverket;Gyldig;29.11.2017;1;Arendal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0906
0911;0911;Kartverket;Gyldig;29.11.2017;1;Gjerstad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0911
0912;0912;Kartverket;Gyldig;29.11.2017;1;Vegårshei;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0912
0914;0914;Kartverket;Gyldig;29.11.2017;1;Tvedestrand;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0914
0918;0918;Kartverket;Utgått;29.11.2017;1;Moland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0918
0919;0919;Kartverket;Gyldig;29.11.2017;1;Froland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0919
0920;0920;Kartverket;Utgått;29.11.2017;1;Øyestad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0920
0921;0921;Kartverket;Utgått;29.11.2017;1;Tromøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0921
0922;0922;Kartverket;Utgått;29.11.2017;1;Hisøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0922
0926;0926;Kartverket;Gyldig;29.11.2017;1;Lillesand;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0926
0928;0928;Kartverket;Gyldig;29.11.2017;1;Birkenes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0928
0929;0929;Kartverket;Gyldig;29.11.2017;1;Åmli;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0929
0935;0935;Kartverket;Gyldig;29.11.2017;1;Iveland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0935
0937;0937;Kartverket;Gyldig;29.11.2017;1;Evje og Hornnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0937
0938;0938;Kartverket;Gyldig;29.11.2017;1;Bygland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0938
0940;0940;Kartverket;Gyldig;29.11.2017;1;Valle;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0940
0941;0941;Kartverket;Gyldig;29.11.2017;1;Bykle;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/0941
1001;1001;Kartverket;Gyldig;29.11.2017;1;Kristiansand;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1001
1002;1002;Kartverket;Gyldig;29.11.2017;1;Mandal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1002
1003;1003;Kartverket;Gyldig;29.11.2017;1;Farsund;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1003
1004;1004;Kartverket;Gyldig;29.11.2017;1;Flekkefjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1004
1014;1014;Kartverket;Gyldig;29.11.2017;1;Vennesla;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1014
1017;1017;Kartverket;Gyldig;29.11.2017;1;Songdalen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1017
1018;1018;Kartverket;Gyldig;29.11.2017;1;Søgne;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1018
1021;1021;Kartverket;Gyldig;29.11.2017;1;Marnardal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1021
1026;1026;Kartverket;Gyldig;29.11.2017;1;Åseral;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1026
1027;1027;Kartverket;Gyldig;29.11.2017;1;Audnedal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1027
1029;1029;Kartverket;Gyldig;29.11.2017;1;Lindesnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1029
1032;1032;Kartverket;Gyldig;29.11.2017;1;Lyngdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1032
1034;1034;Kartverket;Gyldig;29.11.2017;1;Hægebostad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1034
1037;1037;Kartverket;Gyldig;29.11.2017;1;Kvinesdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1037
1046;1046;Kartverket;Gyldig;29.11.2017;1;Sirdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1046
1101;1101;Kartverket;Gyldig;29.11.2017;1;Eigersund;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1101
1102;1102;Kartverket;Gyldig;29.11.2017;1;Sandnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1102
1103;1103;Kartverket;Gyldig;29.11.2017;1;Stavanger;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1103
1106;1106;Kartverket;Gyldig;29.11.2017;1;Haugesund;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1106
1111;1111;Kartverket;Gyldig;29.11.2017;1;Sokndal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1111
1112;1112;Kartverket;Gyldig;29.11.2017;1;Lund;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1112
1114;1114;Kartverket;Gyldig;29.11.2017;1;Bjerkreim;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1114
1119;1119;Kartverket;Gyldig;29.11.2017;1;Hå;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1119
1120;1120;Kartverket;Gyldig;29.11.2017;1;Klepp;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1120
1121;1121;Kartverket;Gyldig;29.11.2017;1;Time;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1121
1122;1122;Kartverket;Gyldig;29.11.2017;1;Gjesdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1122
1124;1124;Kartverket;Gyldig;29.11.2017;1;Sola;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1124
1127;1127;Kartverket;Gyldig;29.11.2017;1;Randaberg;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1127
1129;1129;Kartverket;Gyldig;29.11.2017;1;Forsand;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1129
1130;1130;Kartverket;Gyldig;29.11.2017;1;Strand;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1130
1133;1133;Kartverket;Gyldig;29.11.2017;1;Hjelmeland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1133
1134;1134;Kartverket;Gyldig;29.11.2017;1;Suldal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1134
1135;1135;Kartverket;Gyldig;29.11.2017;1;Sauda;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1135
1141;1141;Kartverket;Gyldig;29.11.2017;1;Finnøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1141
1142;1142;Kartverket;Gyldig;29.11.2017;1;Rennesøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1142
1144;1144;Kartverket;Gyldig;29.11.2017;1;Kvitsøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1144
1145;1145;Kartverket;Gyldig;29.11.2017;1;Bokn;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1145
1146;1146;Kartverket;Gyldig;29.11.2017;1;Tysvær;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1146
1149;1149;Kartverket;Gyldig;29.11.2017;1;Karmøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1149
1151;1151;Kartverket;Gyldig;29.11.2017;1;Utsira;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1151
1154;1154;Kartverket;Utgått;29.11.2017;1;Vindafjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1154
1159;1159;Kartverket;Utgått;29.11.2017;1;Ølen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1159
1160;1160;Kartverket;Gyldig;29.11.2017;1;Vindafjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1160
1201;1201;Kartverket;Gyldig;29.11.2017;1;Bergen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1201
1211;1211;Kartverket;Gyldig;29.11.2017;1;Etne;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1211
1214;1214;Kartverket;Utgått;29.11.2017;1;Ølen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1214
1216;1216;Kartverket;Gyldig;29.11.2017;1;Sveio;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1216
1219;1219;Kartverket;Gyldig;29.11.2017;1;Bømlo;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1219
1221;1221;Kartverket;Gyldig;29.11.2017;1;Stord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1221
1222;1222;Kartverket;Gyldig;29.11.2017;1;Fitjar;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1222
1223;1223;Kartverket;Gyldig;29.11.2017;1;Tysnes;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1223
1224;1224;Kartverket;Gyldig;29.11.2017;1;Kvinnherad;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1224
1227;1227;Kartverket;Gyldig;29.11.2017;1;Jondal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1227
1228;1228;Kartverket;Gyldig;29.11.2017;1;Odda;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1228
1231;1231;Kartverket;Gyldig;29.11.2017;1;Ullensvang;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1231
1232;1232;Kartverket;Gyldig;29.11.2017;1;Eidfjord;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1232
1233;1233;Kartverket;Gyldig;29.11.2017;1;Ulvik;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1233
1234;1234;Kartverket;Gyldig;29.11.2017;1;Granvin;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1234
1235;1235;Kartverket;Gyldig;29.11.2017;1;Voss;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1235
1238;1238;Kartverket;Gyldig;29.11.2017;1;Kvam;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1238
1241;1241;Kartverket;Gyldig;29.11.2017;1;Fusa;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1241
1242;1242;Kartverket;Gyldig;29.11.2017;1;Samnanger;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1242
1243;1243;Kartverket;Gyldig;29.11.2017;1;Os i Hordaland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1243
1244;1244;Kartverket;Gyldig;29.11.2017;1;Austevoll;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1244
1245;1245;Kartverket;Gyldig;29.11.2017;1;Sund;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1245
1246;1246;Kartverket;Gyldig;29.11.2017;1;Fjell;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1246
1247;1247;Kartverket;Gyldig;29.11.2017;1;Askøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1247
1251;1251;Kartverket;Gyldig;29.11.2017;1;Vaksdal;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1251
1252;1252;Kartverket;Gyldig;29.11.2017;1;Modalen;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1252
1253;1253;Kartverket;Gyldig;29.11.2017;1;Osterøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1253
1256;1256;Kartverket;Gyldig;29.11.2017;1;Meland;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1256
1259;1259;Kartverket;Gyldig;29.11.2017;1;Øygarden;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1259
1260;1260;Kartverket;Gyldig;29.11.2017;1;Radøy;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1260
1263;1263;Kartverket;Gyldig;29.11.2017;1;Lindås;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1263
1264;1264;Kartverket;Gyldig;29.11.2017;1;Austrheim;;;https://register.geonorge.no/subregister/sosi-kodelister/kartverket/kommunenummer-alle/kartverket/1264
